Seller SKU,Manufacturer Part Number,Brand Name,Item Name,Bullet points,Product Description,Search Terms,Barcode
OMAC1664,OMAC1664,Olsenmark,Olsenmark OMAC1664 Air Cooler,"• 7 liters water tank capacity
 •0-7.5 hours timer
 • Remote control
 • Left - Right swing
 • 3 speed options 
 • Weight : 7.8 kg
 • Up-Down wing
 • 65 watts power
 • AC: 220-240V 50/60Hz",Olsenmark OMAC1664 Air Cooler,"cooler, Cooler, Air cooler, air cooler, room cooler, high speed fan, portable fan, fan, cooling options, olsenmark cooler, best cooler",
OMAC1677,OMAC1677,Olsenmark,Olsenmark OMAC1677 Air Cooler,"• According to evaporative, principle to cooling, humidifying 
 • Centrifugal wind wheel, provide large air flow, low noise 
 • 3 kinds of wind: natural, sleeping and standard wind 
 • With large; medium; small; three kinds of wind speed 
 to choose 
 • With brake wheel to move and place easily 
 • The active oxygen ion purify air 
 • Air flow: >1200m3/h 
 • Noise: <54dB 
 • 10 Liters large water tank capacity 
 • AC: 220-240V 50-60Hz 100W",Olsenmark OMAC1677 Air Cooler,"cooler, Cooler, Air cooler, air cooler, room cooler, high speed fan, portable fan, fan, cooling options, olsenmark cooler, best cooler",
OMAC1680,OMAC1680,Olsenmark,Olsenmark OMAC1680 Mini Air Cooler,"• Air more fresher with water evaporating
 • Honey comb paper speeds water evaporation, Fowl erect is better
 • With handle, more convenient for carrying
 • Rated cooling power:60W
 • AC: 220-240V 50/60Hz 60W",Olsenmark OMAC1680 Mini Air Cooler,"cooler, Cooler, Air cooler, air cooler, room cooler, high speed fan, portable fan, fan, cooling options, olsenmark cooler, best cooler",
OMAC1719,OMAC1719,Olsenmark,Olsenmark OMAC1719 Air cooler,"• According to evaporative, principle to cooling, humidifying
 • Centrifugal wind wheel, provide large air flow, low noise
 • With high; medium; low; three kinds of wind speed to choose
 • With brake wheel to move and place easily
 • Air flow: >900m3/h
 • Noise: .54dB
 • 3 Liters water tank capacity
 • AC: 240-220V 60-50Hz 65W
 • Color: White with black
 • Material: ABS",Olsenmark OMAC1719 Air cooler,"cooler, Cooler, Air cooler, air cooler, room cooler, high speed fan, portable fan, fan, cooling options, olsenmark cooler, best cooler",
OMAF2346,OMAF2346,Olsenmark,"Olsenmark OMAF2346 Air Fryer, 4.5 L","• Temperature control 80-200OC 
 • Timer up to 30min
 • 4.5L Non-stickfood basket with LFGB&FDA 
 • Rapid air circulates system fry food faster and save energy
 • Healthy way for fry without oil and less fat 80%
 • Double protection circuits for watch the Frying food any time
 • Dishwasher safe parts
 • S/S 304 heating element
 • PP housing in 137degree
 • Over-heat protection
 • Non-slip feet
 • Cool-touch housing and handle
 • High temperature inside plastic in 280degree
 • Life test 3000hours
 • AC:220-240V 50/60Hz 1500W
 • Color: BLACK WITH SILVER
 • Material: PC","Olsenmark OMAF2346 Air Fryer, 4.5 L","oil free frier, air fryer, oil free fryer, olsenmark air fryer, fryer, kitchen appliances, kitchen tools",
OMBK1511,OMBK1511,Olsenmark,Olsenmark OMBK1511 Electric Insect Killer,"• 2x8 Watt Ultra-Violet Tube 
 • No Poisonous Vapor, Irritating Odor Or Contamination 
 • Easy To Install And Clean 
 • Low Power Consumption. 
 • Easy To Replace Tubes. 
 • Suitable For Home And Office 
 • AC 220-240V 50/60Hz 27W",Olsenmark OMBK1511 Electric Insect Killer,"insect killer, Olsenmark insect killer, insect kiler, bug killer, best insect killer, pest killer, electric insect killer",
OMBK1512,OMBK1512,Olsenmark,Olsenmark OMBK1512 Electric Insect Killer,"• 2x15 Watt ultra-violet tube 
 • No poisonous vapor, irritating odor or contamination 
 • Easy to install and clean 
 • Low power consumption. 
 • Easy to replace tubes. 
 • Suitable for home and office 
 • AC 220-240V 50/60Hz 40W",Olsenmark OMBK1512 Electric Insect Killer,"insect killer, Olsenmark insect killer, insect kiler, bug killer, best insect killer, pest killer, electric insect killer",
OMBK1513,OMBK1513,Olsenmark,Olsenmark OMBK1513 Electric Insect Killer,"• 1x4 Watt ultra-violet tube 
 • No poisonous vapor, irritating odor or contamination 
 • Easy to install and clean 
 • Low power consumption. 
 • Easy to replace tubes. 
 • Suitable for home and office 
 • AC 220-240V 50/60Hz 4W",Olsenmark OMBK1513 Electric Insect Killer,"insect killer, Olsenmark insect killer, insect kiler, bug killer, best insect killer, pest killer, electric insect killer",
OMBK1742,OMBK1742,Olsenmark,Olsenmark OMBK1742 LED Bulb & Insect Killer,"• Power: 12W (actual 6.5-7.0 watts) 
 • SMD: 5730*24pcs 
 • Lumen: 370-4201m 
 • Grill Voltage: 700-1000V 
 • Material: PP protects up to 30 sqm -function 1: LED light & insect killer light -function 2: Only insect killer light 
 • Voltage: AC 220-240V 50/60Hz",Olsenmark OMBK1742 LED Bulb & Insect Killer,"insect killer, Olsenmark insect killer, insect kiler, bug killer, best insect killer, pest killer, electric insect killer",
OMBK1753,OMBK1753,Olsenmark,Olsenmark OMBK1753 Mosquito Swatter,"• 1.4V 200mah Lead Acid Battery, Long Duration 
 • Advanced Circuit Energy Saving 
 • High Brightness, Long Life 
 • USB Power, Rechargeable
 • Advanced Technology 
 • No Toxic Fumes, No Foul Odors 
 • Pollution Free",Olsenmark OMBK1753 Mosquito Swatter,"insect killer, Olsenmark insect killer, insect kiler, bug killer, best insect killer, pest killer, electric insect killer",
