Sr. No.,Product ID,Product Name,Brand,Main Images,Sub Images,PFL Images,White Background Images,Lifestyle Images,Certificate Images,Giftbox Images,Diecut Images,A+ Content Images,Ads Images,Unedited Images,PFL Generated Images
1,6294009904108,"Royalford RF1080 Melamine Rice Bowl, 3.5",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
2,6294009904757,"Royalford RF1096-GT6 Glass Tumbler Set, 6pieces",Royalford,1,0,0,0,0,0,0,1,0,0,0,0
3,6294009904764,"Royalford RF1097-GT6 Glass Tumbler Set, 6pieces",Royalford,1,0,0,0,0,0,0,1,0,0,0,0
4,6294009904801,"Royalford RF1101-GT6 Highball Glass Set, 3pieces",Royalford,1,0,0,0,0,0,1,0,0,0,0,0
5,6294009905174,"RoyalFord RF1138-CP6.5 Non-stick Coffee Pot, 300ml",Royalford,1,0,0,1,0,0,0,1,0,0,0,0
6,6294009905181,"RoyalFord RF1139-CP7.5 Non-stick Coffee Pot, 430ml",Royalford,0,0,0,0,0,0,0,1,0,0,0,0
7,6294009905198,"RoyalFord RF1140-CP9.5 Non-stick Coffee Pot, 780ml",Royalford,0,0,0,0,0,0,0,1,0,0,0,0
8,6294009905242,"RoyalFord RF1145-RT28 Non-stick Round Baking Tray, 28cm",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
9,6294009905259,"RoyalFord RF1146-RT30 Non-stick Round Baking Tray, 30cm",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
10,6294009905266,"RoyalFord RF1147-SP32 Non-stick Square Baking Tray, 32cm",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
11,6294009905273,"RoyalFord RF1148-SP37 Non-stick Square Baking Tray, 2L",Royalford,0,0,0,0,0,0,0,0,0,0,0,0
12,6294009905280,"RoyalFord RF1149-SP37 Non-stick Square Baking Tray, 41cm",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
13,6294009905297,Royalford RF1150DR 2-Layer Dish Rack,Royalford,1,0,1,0,0,0,0,0,0,0,0,0
14,6294009905303,Royalford RF1151DR Large Dish Rack,Royalford,1,0,1,0,0,0,0,1,0,0,0,0
15,6294009905341,Royalford RF1155GH8 Glass Holder,Royalford,1,0,0,0,0,0,0,0,0,0,0,0
16,6294009905563,"RoyalFord RF1177 Stainless Steel Food Tongs, 7.5",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
17,6294009905570,"Royalford RF1178 Stainless Steel Food Tongs, 8.5",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
18,6294009905631,Royalford RF1184-O Stainless Steel Can Opener with Tube Handle,Royalford,1,1,1,0,1,0,0,0,0,1,0,0
19,6294009905648,Royalford RF1185-BO Stainless Steel Bottle Opener with Tube Handle,Royalford,1,1,0,0,0,0,0,1,0,0,0,0
20,6294009905679,Royalford RF1188-FP Stainless Steel Peeler,Royalford,1,0,0,0,0,0,0,0,0,0,0,0
21,6294009905686,Royalford RF1189-TP Stainless Steel Triangle Peeler,Royalford,1,0,0,0,0,0,0,1,0,0,0,0
22,6294009905754,RoyalFord RF1196-NSS Nylon Slotted Spatula,Royalford,1,0,0,0,0,0,0,0,0,0,0,0
23,6294009905778,RoyalFord RF1198-NLSS Nylon Long Slotted Spatula,Royalford,1,0,0,0,0,0,0,0,0,0,0,0
24,6294009905785,RoyalFord RF1199-NTSS Nylon Tilted Slotted Spatula,Royalford,1,0,0,0,0,0,0,1,0,0,0,0
25,6294009905792,RoyalFord RF1200-W Nylon Whisk,Royalford,1,0,0,0,0,0,0,0,0,0,0,0
26,6294009906423,"Royalford RF1252C24 Non-stick Casserole With Lid, 24cm",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
27,6294009906430,"RoyalFord RF1253C26 Non-stick Cooking Pot, 26cm",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
28,6294009906447,"RoyalFord RF1254C28 Non-stick Cooking Pot, 28cm",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
29,6294009906454,"RoyalFord RF1255C30 Non-stick Cooking Pot, 30cm",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
30,6294009906461,"RoyalFord RF1256FP30 Non-stick Fry Pan, 30cm",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
31,6294009906478,"RoyalFord RF1257FP32 Non-stick Fry Pan, 32cm",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
32,6294009906485,"RoyalFord RF1258FP18 Non-stick Fry Pan, 18cm",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
33,6294009906508,"RoyalFord RF1260FP22 Fry Pan, 22cm",Royalford,1,1,0,0,0,0,1,1,0,0,0,0
34,6294009906515,"RoyalFord RF1261FP24 Fry Pan, 24cm",Royalford,1,1,0,0,0,0,0,1,0,0,0,0
35,6294009906522,"RoyalFord RF1262FP26 Fry Pan, 26cm",Royalford,1,1,0,0,0,0,0,1,0,0,0,0
36,6294009906539,"RoyalFord RF1263FP28 Fry Pan, 28cm",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
37,6294009906546,"RoyalFord RF1264FP30 Fry Pan, 30cm",Royalford,1,1,0,0,0,0,0,1,0,0,0,0
38,6294009906553,"RoyalFord RF1265FP32 Fry Pan, 32cm",Royalford,1,1,0,0,0,0,0,1,0,0,0,0
39,6294009906607,"RoyalFord RF1270-TC Square Table Cloth, 54 x 54cm",Royalford,0,0,0,0,0,0,0,0,0,0,0,0
40,6294009906645,"RoyalFord RF1274-TC Oblong Table Cloth, 60 x 90cm",Royalford,0,0,0,0,0,0,0,0,0,0,0,0
41,6294009906669,"RoyalFord RF1276-TC Oval Table Cloth, 54 x 72cm",Royalford,0,0,0,0,0,0,0,0,0,0,0,0
42,6294009906706,"RoyalFord RF1280-TC Oblong Table Cloth, 60 x 104cm",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
43,6294009909165,"Royalford RF1385-GT6 Glass Tumbler Set, 6pieces",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
44,6294009910178,"RoyalFord RF1426-MH6 Metal Hanger, 6hooks",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
45,6294009907970,"RoyalFord RF1507FW S Cotton String Floor Mop with Stick, 40cm",Royalford,1,0,0,0,0,0,0,1,0,0,0,0
46,6294009908007,"RoyalFord RF1510-IB Mesh Ironing Board, 114 x 33cm",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
47,6294009908014,"RoyalFord RF1151-1B Mesh Ironing Board With Attached Cloth Rack, 128 x 38cm",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
48,6294009908342,"Royalford RF1543CJ Plastic Citrus Manual Juicer, 0.625L",Royalford,0,0,0,0,0,0,0,0,0,0,0,0
49,6294009908663,"Royalford RF1638 Plastic Classic Casserole, 1200ml",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
50,6294009908670,"Royalford RF1639 Plastic Classic Casserole, 1600ml",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
51,6294009908687,"Royalford RF1640 Plastic Classic Casserole, 2500ml",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
52,6294009908694,"Royalford RF1641 Plastic Classic Casserole, 3500ml",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
53,6294010809713,"Royalford RF1642 Plastic Classic Casserole, 6000ml",Royalford,0,0,0,0,0,0,0,0,0,0,0,0
54,6294009908717,"Royalford RF1643 Plastic Classic Casserole Set, 3pieces",Royalford,1,1,1,0,1,0,0,0,0,0,0,0
55,6294009910239,Royalford RF1646-FSS Stainless Steel Fish Scale Scraper,Royalford,0,0,0,0,0,0,0,0,0,0,0,0
56,6294009910284,Royalford RF1651-KS Knife Sharpener,Royalford,0,0,0,0,0,0,0,0,0,0,0,0
57,6294009910369,Royalford RF1659-YP Stainless Steel Y-Peeler,Royalford,0,0,0,0,0,0,0,0,0,0,0,0
58,6294009910383,"RoyalFord RF1661-IB6 PVC Icing Bag with Nozzles, 5pieces",Royalford,1,1,0,0,0,0,0,1,0,0,0,0
59,6294009910390,"RoyalFord RF1662-IS5 Plastic Icing Syringe with Nozzles, 5pieces",Royalford,0,0,0,0,0,0,0,0,0,0,0,0
60,6294009910437,Royalford RF1666-G Stainless Steel Flat Grater,Royalford,1,1,0,0,0,0,0,1,0,0,0,0
61,6294009910451,RoyalFord RF1668-AP Stainless Steel Apple Cutter,Royalford,0,0,0,0,0,0,0,0,0,0,0,0
62,6294009910468,RoyalFord RF1669-ES Stainless Steel Egg Slicer,Royalford,0,0,0,0,0,0,0,0,0,0,0,0
63,6294009910475,RoyalFord RF1670-ICS Stainless Steel Ice Cream Scoop,Royalford,1,0,0,0,0,0,0,1,0,0,0,0
64,6294009910505,"RoyalFord RF1673-S4 Stainless Steel Strainer with Gripped Handle, 4",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
65,6294009910512,"RoyalFord RF1674-S5 Stainless Steel Strainer with Gripped Handle, 5",Royalford,0,0,0,0,0,0,0,0,0,0,0,0
66,6294009910529,"RoyalFord RF1675-S6 Stainless Steel Strainer with Gripped Handle, 6",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
67,6294009910536,"RoyalFord RF1676-S7 Stainless Steel Strainer with Gripped Handle, 7",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
68,6294009910543,"RoyalFord RF1677-S8 Stainless Steel Strainer with Gripped Handle, 8",Royalford,0,0,0,0,0,0,0,0,0,0,0,0
69,6294009911359,"Royalford RF1747-M10 Ceramic Mug, 12oz",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
70,6294009911366,"Royalford RF1748 Ceramic Coffee Mug Set, 2pieces",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
71,6294009911380,"Royalford RF1750 Ceramic Coffee Mug Set, 2pieces",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
72,6294009911403,"Royalford RF1752 Ceramic Coffee Mug Set, 2pieces",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
73,6294009911786,"RoyalFord RF1754-FPSET Non-Stick Frypan Set, 2pieces",Royalford,1,1,0,0,0,0,0,1,0,0,0,0
74,6294009911823,"RoyalFord RT1758-FP26 Non-stick Frypan with Turner, 30cm",Royalford,1,0,0,0,0,0,0,1,0,0,0,0
75,6294009912202,"Royalford RF1800-CLK Cleaver Knife, 6",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
76,6294009912219,"Royalford RF1801-CK Chef s Knife, 8",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
77,6294009912233,"Royalford RF1803-SK Slicer Knife, 8",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
78,6294009912240,"Royalford RF1804-UK Utility Knife, 5.5",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
79,6294009912257,Royalford RF1805 Knife Sharpener,Royalford,1,1,0,0,0,0,0,0,0,0,0,0
80,6294009912387,"Royalford RF1818-A Vinyl Apron, 76 x 58cm",Royalford,0,0,0,0,0,0,0,0,0,0,0,0
81,6294009913810,"RoyalFord RF1954AG4 Acrylic Glass Set, 4pieces",Royalford,1,0,0,0,0,0,0,0,0,0,1,0
82,6294009913926,"RoyalFord RF1965IB Mesh Ironing Board with Socket,  127 x 46cm",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
83,6294009913940,"RoyalFord RF1967IB Mesh Ironing Board with Socket,  122 x 38cm",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
84,6294009913957,"RoyalFord RF1968IB Mesh Ironing Board with Attached Cloth Rack, 122 x 38cm",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
85,6294009914374,"Royalford RF2010-MP14 Non-stick Milk Pan, 14cm",Royalford,1,0,0,0,0,0,0,1,0,0,1,0
86,6294009914381,"Royalford RF2011-MP16 Non-stick Milk Pan, 16cm",Royalford,1,1,1,0,1,0,0,1,0,0,0,0
87,6294009914398,"Royalford RF2012-MP18 Non-stick Milk Pan, 18cm",Royalford,1,1,1,0,0,0,0,1,0,0,1,0
88,6294009914404,"RoyalFord RF013-T30 Non-stick Tawa, 30cm",Royalford,1,1,1,0,0,0,0,1,0,0,0,0
89,6294009914695,"RoyalFord RF2042-FT12 Stainless Steel Food Tongs, 12",Royalford,1,1,0,0,1,0,0,1,0,0,0,0
90,6294009914701,"RoyalFord RF2043-FT9 Stainless Steel Food Tongs, 9",Royalford,1,1,1,0,1,0,0,1,0,1,0,0
91,6294009914725,RoyalFord RF2045SST Stainless Steel Sink Strainer,Royalford,1,0,0,0,0,0,0,1,0,0,0,0
92,6294009914756,"RoyalFord RF2048-S6.5 Stainless Steel Strainer, 6.5cm",Royalford,0,0,0,0,0,0,0,0,0,0,0,0
93,6294009914763,"RoyalFord RF2049-S10.3 Stainless Steel Strainer, 10.3cm",Royalford,0,0,0,0,0,0,0,0,0,0,0,0
94,6294009914770,"RoyalFord RF2050-S15.2 Stainless Steel Strainer, 15.2cm",Royalford,1,0,0,0,0,0,0,1,0,0,0,0
95,6294009914787,"RoyalFord RF2051-S20 Stainless Steel Strainer, 20cm",Royalford,1,0,0,0,0,0,0,1,0,0,0,0
96,6294009914794,RoyalFord RF2052B Sauce Brush with Stainless Steel Handle,Royalford,1,0,1,0,0,0,0,0,0,0,0,0
97,6294009914817,Royalford RF2054CJ Plastic Citrus Manual Juicer,Royalford,0,0,0,0,0,0,0,0,0,0,0,0
98,6294009914879,Royalford RF2060SP Stainless Steel Rice Spoon,Royalford,1,1,1,0,0,0,1,1,0,0,0,0
99,6294009914886,Royalford RF2061SS Stainless Steel Soup Spoon,Royalford,1,1,1,0,0,0,0,0,0,0,0,0
100,6294009914893,Royalford RF2062T Stainless Steel Turner,Royalford,1,1,1,0,0,0,0,0,0,0,0,0
101,6294009914909,Royalford RF2063S Stainless Steel Skimmer,Royalford,1,1,1,0,0,0,0,0,0,0,0,0
102,6294009914916,Royalford RF2064ST Stainless Steel Slotted Turner,Royalford,1,1,1,0,0,0,0,0,0,0,0,0
103,6294009915135,"RoyalFord RF2086-C24 Stainless Steel Cutlery Set, 24pieces",Royalford,1,1,0,0,0,0,1,0,0,0,0,0
104,6294009915142,"RoyalFord RF2087-C24 Stainless Steel Cutlery Set, 24pieces",Royalford,1,1,0,0,0,0,1,0,0,0,0,0
105,6294009915159,"RoyalFord RF2088-C24 Stainless Steel Cutlery Set, 24pieces",Royalford,1,1,0,0,0,0,1,0,0,0,0,0
106,6294009916170,RoyalFord RF2190-S 3-in-1 Stainless Steel Kitchen Scissors,Royalford,1,1,0,0,0,0,1,0,0,0,0,0
107,6294009918068,RoyalFord RF2356-FB Floor Dish Brush with Plastic Handle,Royalford,1,1,0,0,0,0,0,0,0,0,0,0
108,6294009918075,RoyalFord RF2357-FB Floor Dish Brush with Plastic Handle,Royalford,1,1,0,0,0,0,0,0,0,0,0,0
109,6294009918167,RoyalFord RF2366 Plastic Hand Wiper,Royalford,1,1,1,0,0,0,0,0,0,0,0,0
110,6294009918174,RoyalFord RF2367-DPW B Dust Pan with Cleaning Brush,Royalford,1,1,0,0,1,0,0,0,0,0,0,0
111,6294009918181,RoyalFord RF2368-DPW B Dust Pan with Cleaning Brush,Royalford,1,1,0,0,0,0,0,0,0,0,0,0
112,6294009918198,"Royalford RF2369-FB Floor Broom with Metal Handle, 120cm",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
113,6294009918204,"Royalford RF2370-FB Floor Broom with Metal Handle, 120cm",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
114,6294009918211,Royalford RF2371P Toilet Plunger with Handle,Royalford,1,1,1,0,1,0,0,0,0,1,0,0
115,6294009918228,RoyalFord RF2372-DPW B Toilet Brush with Holder,Royalford,1,1,0,0,0,0,0,0,0,0,0,0
116,6294009918235,RoyalFord RF2373-TB Toilet Brush with Holder,Royalford,1,0,0,0,0,0,0,0,0,0,0,0
117,6294009918570,"Royalford RF2393-TBS Table Spoon Set, 3pieces",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
118,6294009918587,"Royalford RF2394-TF Stainless Steel Table Fork Set, 3pieces",Royalford,0,0,0,0,0,0,0,0,0,0,0,0
119,6294009919010,"Royalford RF2437 Melamine Rice Bowl, 3.5",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
120,6294009920207,Royalford RF2563 Wall Hanging  Dish Rack,Royalford,1,1,1,0,0,0,0,0,0,0,0,0
121,6294009920221,"Royalford RF2565 Wall Hanging  Dish Rack with Plastic Drip Tray, 625 x 478 x 641mm",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
122,6294009920269,"Royalford RF2569 3-Layer Wall Hanging Dish Rack, 665 x 260 x 477mm",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
123,6294009920290,"RoyalFord RF2572 Golden Hook Set, 3pieces",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
124,6294009920306,"RoyalFord RF2573 Golden Hook Set, 4pieces",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
125,6294009920313,"Royalford RF2574 Metal Hanger Set, 6pieces",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
126,6294009920320,"Royalford RF2575 Metal Hanger Set, 6pieces",Royalford,1,0,1,0,1,0,0,0,0,0,0,0
127,6294009920573,"RoyalFord RF2600-IB Metal Clothes Dryer, 128 x 55cm",Royalford,1,1,1,0,1,0,0,1,0,0,0,0
128,6294009921143,"Royalford RF2654-GT6 Glass Tumbler Set, 6pieces",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
129,6294009921587,"Royalford RF2694-GBD Glass Baking Dish, 1.8L",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
130,6294009921594,"Royalford RF2694-GBD Glass Baking Dish, 2.2L",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
131,6294009921648,"Royalford RF2700-GBD Glass Oval Baking Dish, 3L",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
132,6294009921679,"Royalford RF2703-GBD Glass Mixing Bowl, 2.2L",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
133,6294009921686,"Royalford RF2704-GBD Glass Mixing Bowl, 1.3L",Royalford,1,1,0,0,0,0,1,0,0,0,0,0
134,6294009921693,"Royalford RF2705-GBD Glass Mixing Bowl, 0.8L",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
135,6294009921730,"Royalford RF2709-GBD Glass Oblong Baking Dish Set, 2pieces",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
136,6294009922348,"Royalford RF2752-GW Glass Mug Set, 3pieces",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
137,6294009922454,Royalford RF2763-SP Stainless Steel Sauce Spoon,Royalford,1,1,1,0,0,0,1,1,0,0,0,0
138,6294009924007,Royalford RF2906 Glass Holder,Royalford,1,1,0,0,0,0,0,0,0,0,0,0
139,6294009923475,"Royalford RF2918 Fruit Decal Mug Set, 4pieces",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
140,6294009923505,"Royalford RF2921-FB Coffee Mug, 11oz",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
141,6294009924304,"RoyalFord RF2947 Non-stick Wokpan With Lid, 22cm",Royalford,1,1,1,0,1,0,0,1,0,0,0,0
142,6294009924311,"RoyalFord RF2948 Non-stick Wokpan With Lid, 26cm",Royalford,1,1,1,0,0,0,0,1,0,0,1,0
143,6294009924328,"RoyalFord RF2949 Non-stick Wokpan With Lid, 30cm",Royalford,1,1,1,0,0,0,0,1,0,0,1,0
144,6294009924335,"RoyalFord RF2950 Fry Pan With Lid, 22cm",Royalford,1,1,0,0,0,0,0,1,0,0,1,0
145,6294009924342,"RoyalFord RF2951 Fry Pan With Lid, 24cm",Royalford,1,1,1,0,0,0,1,1,0,0,0,0
146,6294009924359,"RoyalFord RF2952 Fry Pan With Lid, 26cm",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
147,6294009924366,"RoyalFord RF2953 Fry Pan With Lid, 28cm",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
148,6294009924380,"Royalford RF2955 non-stick Fry Pan, 22cm",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
149,6294009924397,"Royalford RF2956 non-stick Fry Pan, 24cm",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
150,6294009924403,"RoyalFord RF2953 Non-stick Fry Pan, 26cm",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
151,6294009924410,"Royalford RF2958 non-stick Fry Pan, 28cm",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
152,6294009924427,"Royalford RF2959 non-stick Fry Pan, 30cm",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
153,6294009924434,"RoyalFord RF2960 Sauce Pan With Lid, 16cm",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
154,6294009924441,"RoyalFord RF2961 Sauce Pan With Lid, 18cm",Royalford,1,1,1,0,1,0,0,0,0,0,0,0
155,6294009924458,"RoyalFord RF2962 Sauce Pan With Lid, 20cm",Royalford,1,1,1,0,1,0,1,0,0,0,0,0
156,6294009924465,"Royalford RF2963 Porcelain Coffee Mug, 11oz",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
157,6294009924472,"Royalford RF2964 Porcelain Coffee Mug, 11oz",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
158,6294009924489,"Royalford RF2965 Porcelain Coffee Mug Set, 3pieces",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
159,6294009924496,"Royalford RF2966 Porcelain Coffee Mug Set, 4pieces",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
160,6294009924755,"RoyalFord RF2992 Stainless Steel Scissors, 8",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
161,6294009924830,"Royalford RF3000 Stainless Steel Table Knife Set, 3pieces",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
162,6294009924847,"Royalford RF3001 Table Spoon Set, 3pieces",Royalford,1,0,0,0,0,0,0,1,0,0,0,0
163,6294009924854,"Royalford RF3002 Table Fork Set, 3pieces",Royalford,1,0,0,0,0,0,0,1,0,0,0,0
164,6294009924861,"Royalford RF3003 Tea Spoon Set, 3pieces",Royalford,1,0,0,0,0,0,0,1,0,0,0,0
165,6294009925011,RoyalFord RF3018 Plastic Lemon Squeezer,Royalford,1,1,0,0,0,0,0,1,0,0,0,0
166,6294009925271,"RoyalFord RF3044 Plastic Floor Wiper with Handle, 40cm",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
167,6294009950211,"RoyalFord RF324WP26  Non-stick Wok Pan With Lid, 26cm",Royalford,1,1,1,0,1,0,0,0,0,0,0,0
168,6294009950228,"Royalford RF325WP30 Non-stick Wok Pan, 30cm",Royalford,1,0,1,0,0,0,0,0,0,0,1,0
169,6294009950235,"Royalford RF326SP18 Aluminium Alloy Saucepan, 18cm",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
170,6294009950242,"Royalford RF326SP20 Aluminium Alloy Saucepan, 20cm",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
171,6294009950419,"RoyalFord RF345N Acrylic Jug, 2L",Royalford,1,1,0,0,0,0,1,0,0,0,0,0
172,6294009950464,"RoyalFord RF350AG4 Pink Acrylic Glass Set, 4pieces",Royalford,1,1,0,0,0,0,1,0,0,0,0,0
173,6294009950518,"Royalford RF355PC11 Aluminium Pressure Cooker, 11L",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
174,6294009950525,"Royalford RF356PC15 Aluminium Pressure Cooker, 15L",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
175,6294009950532,"Royalford RF357PC5 Aluminium Pressure Cooker, 5L",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
176,6294009950549,"Royalford RF358PC7 Aluminium Pressure Cooker, 7L",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
177,6294009950556,"Royalford RF359PC9 Aluminium Pressure Cooker, 15L",Royalford,0,0,0,0,0,0,0,0,0,0,0,0
178,6294009950587,"RoyalFord RF365IBL Mesh Ironing Board with Attached Cloth Rack, 127 x 46cm",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
179,6294009950594,"RoyalFord RF366IBM Mesh Ironing Board with Attached Cloth Rack, 122 x 38cm",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
